"Date","AAPL","AMZN","FB","GOOG","IBM","MSFT","NFLX","NVDA","TSLA","TWTR"
"2020-03-16",60.176525,1689.150024,146.009995,1084.329956,95.125847,134.36647,298.839996,196.19371,89.014,24.040001
"2020-03-17",62.822491,1807.839966,149.419998,1119.800049,102.393738,145.429733,319.75,217.041824,86.040001,24.48
"2020-03-18",61.284599,1830,146.960007,1096.800049,99.417458,139.307724,315.470001,202.606995,72.244003,22
"2020-03-19",60.815033,1880.930054,153.130005,1115.290039,96.335556,141.599747,332.029999,212.746323,85.528,24.129999
"2020-03-20",56.954155,1846.089966,149.729996,1072.319946,91.583107,136.281433,332.829987,205.53392,85.505997,23.950001
"2020-03-23",55.744217,1902.829956,148.100006,1056.619995,90.987846,134.922089,360.269989,212.466629,86.858002,24.690001
"2020-03-24",61.336773,1940.099976,160.979996,1134.459961,101.270439,147.185944,357.320007,248.918304,101,25.85
"2020-03-25",60.998886,1885.839966,156.210007,1102.48999,101.625664,145.776993,342.390015,245.36203,107.849998,25.969999
"2020-03-26",64.208832,1955.48999,163.339996,1161.75,108.384705,154.895493,362.98999,256.969818,105.632004,26.41
"2020-03-27",61.550438,1900.099976,156.789993,1110.709961,103.718658,148.535355,357.119995,252.464569,102.872002,25.290001
"2020-03-30",63.306961,1963.949951,165.949997,1146.819946,108.423111,158.983444,370.959991,265.311066,100.426003,25.59
"2020-03-31",63.177769,1949.719971,166.800003,1162.810059,106.50293,156.483047,375.5,263.323181,104.800003,24.559999
"2020-04-01",59.853539,1907.699951,159.600006,1105.619995,100.944,150.92662,364.079987,242.814728,96.311996,23.32
"2020-04-02",60.852295,1918.829956,158.190002,1120.839966,105.610039,154.052109,370.079987,255.201691,90.893997,23.02
"2020-04-03",59.977768,1906.589966,154.179993,1097.880005,102.096107,152.63324,361.76001,243.653854,96.001999,23.09
"2020-04-06",65.210068,1997.589966,165.550003,1186.920044,110.237686,163.984238,379.959991,268.118073,103.248001,24.93
"2020-04-07",64.454796,2011.599976,168.830002,1186.51001,110.352898,162.218079,372.279999,258.757935,109.089996,25.610001
"2020-04-08",66.104485,2043,174.279999,1210.280029,114.529289,163.845306,371.119995,266.669647,109.767998,27.860001
"2020-04-09",66.581505,2042.76001,175.190002,1211.449951,116.6511,163.85524,370.720001,262.673859,114.599998,27.77
"2020-04-13",67.888336,2168.870117,174.789993,1217.560059,116.315063,164.222351,396.720001,269.566589,130.190002,27.209999
"2020-04-14",71.31691,2283.320068,178.169998,1269.22998,118.964912,172.348633,413.549988,283.651794,141.977997,27.940001
"2020-04-15",70.665985,2307.679932,176.970001,1262.469971,113.953239,170.542801,426.75,280.545044,145.966003,27.51
"2020-04-16",71.22747,2408.189941,176.25,1263.469971,111.111366,175.662643,439.170013,294.390503,149.042007,26.549999
"2020-04-17",70.261017,2375,179.240005,1283.25,115.326172,177.210526,422.959991,292.013,150.778,26.700001
"2020-04-20",68.80262,2393.610107,178.240005,1266.609985,115.604599,173.698074,437.48999,286.748535,149.272003,27.01
"2020-04-21",66.675911,2328.120117,170.800003,1216.339966,112.100266,166.514404,433.829987,269.22699,137.343994,25.75
"2020-04-22",68.596413,2363.48999,182.279999,1263.209961,114.548485,172.170059,421.420013,285.849487,146.421997,28.440001
"2020-04-23",68.330582,2399.449951,185.130005,1276.310059,116.50708,170.08638,426.700012,283.711731,141.126007,27.860001
"2020-04-24",70.303253,2410.219971,190.070007,1279.310059,119.742584,173.192032,424.98999,289.285889,145.029999,28.74
"2020-04-27",70.352943,2376,187.5,1275.880005,120.894699,172.695923,421.380005,296.767975,159.75,30
"2020-04-28",69.212555,2314.080078,182.910004,1233.670044,121.230728,168.488922,403.829987,291.053955,153.824005,28.790001
"2020-04-29",71.485863,2372.709961,194.190002,1341.47998,123.554153,176.049622,411.890015,298.146545,160.102005,31.09
"2020-04-30",72.993935,2474,204.710007,1348.660034,120.549057,177.815781,419.850006,291.973053,156.376007,28.68
"2020-05-01",71.818787,2286.040039,202.270004,1320.609985,117.006332,173.211899,415.269989,282.483002,140.264008,27.84
"2020-05-04",72.83493,2315.98999,205.259995,1326.800049,116.823906,177.448639,428.149994,290.98407,152.238007,28.23
"2020-05-05",73.928101,2317.800049,207.070007,1351.109985,117.687988,179.353729,424.679993,293.431488,153.641998,28.07
"2020-05-06",74.690842,2351.26001,208.470001,1347.300049,118.25444,181.119873,434.26001,297.477234,156.516006,27.68
"2020-05-07",75.463509,2367.610107,211.259995,1372.560059,117.952827,182.171631,436.529999,304.549805,156.007996,28.77
"2020-05-08",77.259674,2379.610107,212.350006,1388.369995,119.665245,183.24321,435.549988,312.171783,163.884003,29.93
"2020-05-11",78.475372,2409,213.179993,1403.26001,119.276054,185.287201,440.519989,322.281158,162.257996,29.690001
"2020-05-12",77.578537,2356.949951,210.100006,1375.73999,117.009041,181.090103,431.820007,311.772217,161.882004,29.15
"2020-05-13",76.641853,2367.919922,205.100006,1349.329956,112.601509,178.351578,438.269989,310.873199,158.192001,28.129999
"2020-05-14",77.112686,2388.850098,206.809998,1356.130005,113.788521,179.125519,441.950012,320.88266,160.666,28.559999
"2020-05-15",76.656792,2409.780029,210.880005,1373.189941,113.817711,181.735046,454.190002,339.273315,159.834,29
"2020-05-18",78.462914,2426.26001,213.190002,1383.939941,118.273903,183.471436,452.579987,349.642426,162.725998,29.639999
"2020-05-19",78.009521,2449.330078,216.880005,1373.484985,117.038231,182.201401,451.040009,351.850098,161.602005,29.879999
"2020-05-20",79.526665,2497.939941,229.970001,1406.719971,118.098763,184.728653,447.670013,358.423157,163.112,32.23
"2020-05-21",78.933754,2446.73999,231.389999,1402.800049,115.899864,182.509842,436.25,350.641388,165.520004,32.34
"2020-05-22",79.441963,2436.879883,234.910004,1410.420044,115.189598,182.589432,429.320007,360.670776,163.376007,32.619999
"2020-05-26",78.903862,2421.860107,232.199997,1417.02002,118.468498,180.65918,414.769989,348.34375,163.774002,34.009998
"2020-05-27",79.247643,2410.389893,229.139999,1417.839966,122.146317,180.897964,419.890015,340.651855,164.046005,33.07
"2020-05-28",79.282524,2401.100098,225.460007,1416.72998,121.163612,180.490021,413.440002,339.123474,161.162003,31.6
"2020-05-29",79.205299,2442.370117,225.089996,1428.920044,121.523621,182.33075,419.730011,354.647156,167,30.969999
"2020-06-01",80.179359,2471.040039,231.910004,1431.819946,121.513878,181.912857,425.920013,351.880066,179.619995,31.889999
"2020-06-02",80.550545,2472.409912,232.720001,1439.219971,122.59388,183.982422,427.309998,352.639252,176.311996,32.259998
"2020-06-03",80.99398,2478.399902,230.160004,1436.380005,125.561432,184.430161,421.970001,350.411591,176.591995,34.880001
"2020-06-04",80.296448,2460.600098,226.289993,1412.180054,125.405754,182.002396,414.329987,350.451569,172.876007,33.720001
"2020-06-05",82.583374,2483,230.770004,1438.390015,128.490051,186.260925,419.600006,356.587921,177.132004,34.869999
"2020-06-08",83.07164,2524.060059,231.399994,1446.609985,132.080307,187.4151,419.48999,351.990692,189.983994,36.639999
"2020-06-09",85.694878,2600.860107,238.669998,1456.160034,128.305191,188.8479,434.049988,361.624939,188.134003,35.919998
"2020-06-10",87.89959,2647.449951,236.729996,1465.849976,126.359261,195.85257,434.480011,374.447327,205.009995,35.139999
"2020-06-11",83.679497,2557.959961,224.429993,1403.839966,114.81987,185.335602,425.559998,351.6409,194.567993,33.029999
"2020-06-12",84.401947,2545.02002,228.580002,1413.180054,118.614441,186.798218,418.070007,357.087616,187.056,33.400002
"2020-06-15",85.445755,2572.679932,232.5,1419.849976,118.361465,187.992203,425.5,366.731934,198.179993,34.110001
"2020-06-16",87.710258,2615.27002,235.649994,1442.719971,121.766853,192.598984,436.130005,362.524414,196.425995,34.630001
"2020-06-17",87.588196,2640.97998,235.529999,1451.119995,120.793892,193.265625,447.769989,369.220428,198.358002,34.34
"2020-06-18",87.623077,2653.97998,235.940002,1435.959961,120.803619,195.33519,449.869995,368.500854,200.792007,34.029999
"2020-06-19",87.122337,2675.01001,238.789993,1431.719971,119.159302,194.171036,453.720001,370.229828,200.179993,33.41
"2020-06-22",89.401787,2713.820068,239.220001,1451.859985,117.79715,199.563873,468.040009,380.843506,198.863998,33.470001
"2020-06-23",91.310051,2764.409912,242.240005,1464.410034,116.18203,200.897141,466.26001,377.77533,200.356003,32.91
"2020-06-24",89.698242,2734.399902,234.020004,1431.969971,113.27285,196.847549,457.850006,369.200439,192.169998,31.73
"2020-06-25",90.889038,2754.580078,235.679993,1441.329956,115.812294,199.335007,465.910004,379.37439,197.195999,31.370001
"2020-06-26",88.096405,2692.870117,216.080002,1359.900024,114.022041,195.345123,443.399994,365.982361,191.947998,29.049999
"2020-06-29",90.126732,2680.379883,220.639999,1394.969971,116.512833,197.44455,447.23999,367.781281,201.869995,29.49
"2020-06-30",90.879066,2758.820068,227.070007,1413.609985,117.505257,202.489105,455.040009,379.684204,215.962006,29.790001
"2020-07-01",90.707176,2878.699951,237.550003,1438.040039,115.335541,203.673141,485.640015,380.97345,223.925995,30.809999
"2020-07-02",90.707176,2890.300049,233.419998,1464.699951,116.46418,205.225311,476.890015,384.261475,241.731995,30.870001
"2020-07-06",93.133614,3057.040039,240.279999,1495.699951,116.940941,209.643036,493.809998,393.33609,274.31601,32.34
"2020-07-07",92.844635,3000.120117,240.860001,1485.180054,114.401489,207.205322,493.160004,394.635315,277.971985,32.990002
"2020-07-08",95.006996,3081.110107,243.580002,1496,114.527977,211.76236,502.779999,408.397125,273.175995,35.41
"2020-07-09",95.415558,3182.629883,244.5,1510.98999,112.582047,213.244904,507.76001,420.110138,278.855988,35.720001
"2020-07-10",95.582466,3200,245.070007,1541.73999,115.150681,212.598145,548.72998,418.920898,308.929993,35.400002
"2020-07-13",95.141525,3104,239,1511.339966,115.977692,206.03125,525.5,401.851013,299.411987,33.82
"2020-07-14",96.715965,3084,239.729996,1520.579956,117.339851,207.30484,524.880005,414.833282,303.359985,34.380001
"2020-07-15",97.381111,3008.870117,240.279999,1513.640015,119.674973,206.996368,523.26001,408.846863,309.201996,35.669998
"2020-07-16",96.182846,2999.899902,240.929993,1518,120.657677,202.897049,527.390015,405.149078,300.127991,35.279999
"2020-07-17",95.988533,2961.969971,242.029999,1515.550049,121.727936,201.862274,492.98999,407.817474,300.167999,35.810001
"2020-07-20",98.011391,3196.840088,245.419998,1565.719971,122.95388,210.538528,502.410004,420.180084,328.600006,37.060001
"2020-07-21",96.658661,3138.290039,241.75,1558.420044,122.652252,207.70282,490.100006,412.89447,313.671997,37.009998
"2020-07-22",96.930199,3099.909912,239.869995,1568.48999,125.191696,210.687775,489.820007,417.301819,318.466003,36.939999
"2020-07-23",92.518288,2986.550049,232.600006,1515.680054,123.887924,201.523972,477.579987,404.949188,302.614014,38.439999
"2020-07-24",92.289093,3008.909912,230.710007,1511.869995,122.389549,200.290207,480.450012,407.537628,283.399994,37.540001
"2020-07-27",94.476364,3055.209961,233.5,1530.199951,122.798195,202.827408,495.649994,416.612213,307.920013,36.849998
"2020-07-28",92.924355,3000.330078,230.119995,1500.339966,121.10524,201.006592,488.51001,408.377136,295.298004,36.610001
"2020-07-29",94.705559,3033.530029,233.289993,1522.02002,121.932259,203.036346,484.480011,418.371185,299.821991,37.16
"2020-07-30",95.851517,3051.879883,234.5,1531.449951,119.577682,202.877151,485.799988,424.307648,297.497986,36.720001
"2020-07-31",105.886086,3164.679932,253.669998,1482.959961,119.6166,203.981583,488.880005,424.337646,286.152008,36.400002
"2020-08-03",108.554153,3111.889893,251.960007,1474.449951,120.949562,215.453751,498.619995,440.148254,297,36.389999
"2020-08-04",109.279099,3138.830078,249.830002,1464.969971,122.438202,212.220047,509.640015,448.843048,297.399994,36.349998
"2020-08-05",109.675194,3205.030029,249.119995,1473.609985,122.058739,211.871811,502.109985,451.20166,297.003998,36.790001
"2020-08-06",113.501678,3225,265.279999,1500.099976,122.710632,215.264709,509.079987,453.150513,297.915985,37.689999
"2020-08-07",110.921135,3167.459961,268.440002,1494.48999,123.173912,211.414124,494.730011,447.713745,290.541992,37.139999
"2020-08-10",112.533356,3148.159912,263,1496.099976,125.293182,207.205322,483.380005,446.334564,283.713989,37.439999
"2020-08-11",109.186623,3080.669922,256.130005,1480.319946,124.938332,202.359772,466.929993,433.742035,274.877991,37.279999
"2020-08-12",112.815369,3162.23999,259.890015,1506.619995,124.889038,208.140625,475.470001,457.338013,310.951996,37.439999
"2020-08-13",114.81192,3161.02002,261.299988,1518.449951,123.242912,207.653061,481.329987,457.447968,324.200012,37.82
"2020-08-14",114.709602,3148.02002,261.23999,1507.72998,123.479485,207.852066,482.679993,462.285095,330.141998,37.900002
"2020-08-17",114.41011,3182.409912,261.160004,1517.97998,122.661346,209.225143,482.350006,493.186737,367.127991,37.970001
"2020-08-18",115.363472,3312.48999,262.339996,1558.599976,123.134483,210.429092,491.869995,490.138489,377.417999,38.009998
"2020-08-19",115.508217,3260.47998,262.589996,1547.530029,122.069923,209.15242,484.529999,485.251404,375.705994,38.889999
"2020-08-20",118.071297,3297.370117,269.01001,1581.75,121.389786,214.019684,497.899994,485.351379,400.365997,38.959999
"2020-08-21",124.1558,3284.719971,267.01001,1580.420044,121.399643,212.46376,492.309998,507.038483,409.996002,39.259998
"2020-08-24",125.640739,3307.459961,271.390015,1588.199951,123.883621,213.132004,488.809998,508.507568,402.839996,40.490002
"2020-08-25",124.610016,3346.48999,280.820007,1608.219971,122.85849,215.904755,490.579987,509.696899,404.667999,40.549999
"2020-08-26",126.304596,3441.850098,303.910004,1652.380005,122.395203,220.572525,547.530029,510.616364,430.634003,41.080002
"2020-08-27",124.794701,3400,293.220001,1634.329956,122.868347,225.988358,526.27002,504.829773,447.75,40.389999
"2020-08-28",124.592552,3401.800049,293.660004,1644.410034,123.282341,228.312271,523.890015,525.597412,442.679993,41.07
"2020-08-31",128.817749,3450.959961,293.200012,1634.180054,121.547493,224.941086,529.559998,534.661987,498.320007,40.580002
"2020-09-01",133.948898,3499.120117,295.440002,1660.709961,121.636215,226.676559,556.549988,552.676758,475.049988,41.150002
"2020-09-02",131.173691,3531.449951,302.5,1728.280029,126.347885,231.045105,552.840027,573.690491,447.369995,43.669998
"2020-09-03",120.671806,3368,291.119995,1641.839966,122.671204,216.73259,525.75,520.466248,407,41.630001
"2020-09-04",120.751671,3294.620117,282.730011,1591.040039,120.551941,213.690552,516.049988,504.750885,418.320007,39.869999
"2020-09-08",112.625694,3149.840088,271.160004,1532.390015,119.477516,202.130814,507.019989,476.379242,330.209991,38.189999
"2020-09-09",117.117943,3268.610107,273.720001,1556.959961,120.512512,210.738266,500.190002,508.449799,366.279999,39.560001
"2020-09-10",113.29454,3175.110107,268.089996,1532.02002,118.8368,204.833725,480.670013,492.324554,371.339996,38.950001
"2020-09-11",111.807106,3116.219971,266.609985,1520.719971,119.723938,203.497238,482.029999,486.436279,372.720001,38.93
"2020-09-14",115.161316,3102.969971,266.149994,1519.280029,120.344933,204.873627,476.26001,514.737976,419.619995,38.77
"2020-09-15",115.341011,3156.129883,272.420013,1541.439941,120.689934,208.234833,495.98999,519.486572,449.76001,39.09
"2020-09-16",111.936882,3078.100098,263.519989,1520.900024,122.444496,204.514572,483.859985,500.432159,441.76001,39.599998
"2020-09-17",110.149963,3008.72998,254.820007,1495.530029,123.134483,202.380157,470.200012,498.392761,423.429993,39.349998
"2020-09-18",106.655991,2954.909912,252.529999,1459.98999,121.005363,199.86673,469.959991,487.425995,442.149994,40.150002
"2020-09-21",109.890411,2960.469971,248.149994,1431.160034,118.531235,202.011124,487.350006,500.542114,449.390015,39.900002
"2020-09-22",111.617432,3128.98999,254.75,1465.459961,118.787521,206.878372,491.170013,505.360718,424.230011,42.73
"2020-09-23",106.935509,2999.860107,249.020004,1415.209961,117.131531,200.066208,470.609985,484.806793,380.359985,45.330002
"2020-09-24",108.033615,3019.790039,249.529999,1428.290039,116.402107,202.659424,473.079987,493.774139,387.790009,43.139999
"2020-09-25",112.086624,3095.129883,254.820007,1444.959961,117.249817,207.277344,482.880005,514.797913,407.339996,43.84
"2020-09-28",114.762009,3174.050049,256.820007,1464.52002,119.990082,208.893112,490.649994,521.246033,421.200012,44.150002
"2020-09-29",113.893501,3144.879883,261.790009,1469.329956,119.21138,206.718796,493.480011,528.873779,419.070007,44.740002
"2020-09-30",115.610542,3148.72998,261.899994,1469.599976,119.930939,209.780777,500.029999,541.06012,429.01001,44.5
"2020-10-01",116.58886,3221.26001,266.630005,1490.089966,119.35923,211.905228,527.51001,544.419189,448.160004,46.700001
"2020-10-02",112.825348,3125,259.940002,1458.420044,118.846664,205.651596,503.059998,522.335693,415.089996,46.119999
"2020-10-05",116.299355,3199.199951,264.649994,1486.02002,120.266083,209.830658,520.650024,545.538818,425.679993,47.310001
"2020-10-06",112.965111,3099.959961,258.660004,1453.439941,120.226654,205.37233,505.869995,549.297729,413.980011,45.599998
"2020-10-07",114.881805,3195.689941,258.119995,1460.290039,122.296638,209.282089,534.659973,558.39502,425.299988,45.869999
"2020-10-08",114.771988,3190.550049,263.76001,1485.930054,129.61058,210.030136,531.789978,553.386475,425.920013,46.009998
"2020-10-09",116.768547,3286.649902,264.450012,1515.219971,125.963463,215.246475,539.440002,550.347412,434,45.900002
"2020-10-12",124.185753,3442.929932,275.75,1569.150024,125.391754,220.821869,539.809998,568.871887,442.299988,48.25
